CLIENTE;MES;NRO_VEC_COB;PDPs_ROTAS;ESTADO_PDP;NRO_CUOTAS;MES_0;MES_1;MES_2;FECHALLAMADA;HORA;DEUDA_TOTAL;ESTATUS;ACTIVACION;MORA;TIPOCONTACTO
C00225;01/02/2014;<=10;0;0;>48;354.08;0;545.96;10/02/2014;18;13628.6;BT;1/01/2013;1;CNE
C00226;01/02/2014;<=10;0;0;<24, 48;365.86;0;0;13/02/2014;9;18745.5;BT;1/01/2012;1;CNE
C00228;01/02/2014;<=10;0;0;<24, 48;805.33;808.08;0;13/02/2014;13;21670.3;BT;1/01/2012;1;CNE
C00230;01/02/2014;<=10;0;0;>48;261.17;59.48;188.93;4/02/2014;9;8151.22;BT;1/01/2013;1;CNE
C00231;01/02/2014;>10;0;0;>48;217.64;0;319.05;3/02/2014;12;1265.01;BT;1/01/2010;1;COEF
C00232;01/02/2014;>10;0;0;<24, 48;1921.96;0.83;0;3/02/2014;8;49776.3;BT;1/01/2012;1;COEF
C00233;01/02/2014;>10;0;0;>48;2275.98;0;0;3/02/2014;10;24549.5;BT;1/01/2012;0;CNE
C00235;01/02/2014;>10;0;0;<24, 48;303.93;547.9;0;7/02/2014;8;13721.6;BT;1/01/2011;1;CNE
C00238;01/02/2014;<=10;0;0;>48;2039.22;0;0;6/02/2014;10;33717.1;BT;1/01/2010;1;CNE
C00239;01/02/2014;>10;0;0;<24, 48;303.2;607.81;306.94;28/02/2014;11;1494.54;BT;1/01/2011;1;COEF
C00240;01/02/2014;>10;0;0;>48;806.11;0;0;3/02/2014;16;16219.5;BT;1/01/2011;1;CNE
C00241;01/02/2014;<=10;>0;0;<24, 48;1691.43;848.46;1693.96;21/02/2014;12;41868.7;BT;1/01/2012;1;CNE
C00242;01/02/2014;<=10;0;0;>48;36.62;1.52;830.37;3/02/2014;8;24563.8;BT;1/01/2013;1;COEF
C00243;01/02/2014;>10;0;0;<24, 48;269.77;0;0;3/02/2014;13;2368.32;BT;1/01/2011;1;COEF
C00244;01/02/2014;>10;0;0;<24, 48;107.6;0;0;3/02/2014;11;1053.34;BT;1/01/2011;1;COEF
C00245;01/02/2014;<=10;0;0;<24, 48;206.47;207.4;208.85;20/02/2014;11;16959.1;BT;1/01/2013;1;CNE
